nama_variabel,nama_variabel_turunan,nama_tahun,nama_turunan_tahun,data_content,nama_item_vertical_variabel
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,654.799,ACEH
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,3975.425,SUMATERA UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,930.115,SUMATERA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,6384.537,RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,1718.291,JAMBI
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,2492.899,SUMATERA SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,802.022,BENGKULU
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,433.822,LAMPUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,504.601,KEP. BANGKA BELITUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,37.204,KEP. RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,DKI JAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,22.72,JAWA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,JAWA TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,DI YOGYAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,JAWA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,27.673,BANTEN
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,BALI
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,NUSA TENGGARA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,NUSA TENGGARA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,1830.859,KALIMANTAN BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,2958.281,KALIMANTAN TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,1233.084,KALIMANTAN SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,1298.142,KALIMANTAN TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,-,KALIMANTAN UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,SULAWESI UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,234.079,SULAWESI TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,47.182,SULAWESI SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,28.864,SULAWESI TENGGARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,GORONTALO
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,253.728,SULAWESI BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,MALUKU
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,0,MALUKU UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,53.716,PAPUA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,93.476,PAPUA
Produksi Tanaman Perkebunan,Kelapa Sawit,2012,Tahun,26015.519,INDONESIA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,817.525,ACEH
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,4549.202,SUMATERA UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,1022.332,SUMATERA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,6646.997,RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,1749.617,JAMBI
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,2690.62,SUMATERA SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,787.05,BENGKULU
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,424.054,LAMPUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,508.125,KEP. BANGKA BELITUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,36.774,KEP. RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,DKI JAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,32.643,JAWA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,JAWA TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,DI YOGYAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,JAWA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,27.077,BANTEN
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,BALI
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,NUSA TENGGARA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,NUSA TENGGARA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,1794.466,KALIMANTAN BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,3127.138,KALIMANTAN TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,1244.04,KALIMANTAN SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,1349.775,KALIMANTAN TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,164.728,KALIMANTAN UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,SULAWESI UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,244.074,SULAWESI TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,49.818,SULAWESI SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,71.278,SULAWESI TENGGARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,GORONTALO
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,282.738,SULAWESI BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,14.74,MALUKU
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,MALUKU UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,53.716,PAPUA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,93.476,PAPUA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,27782.003,INDONESIA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,853.855,ACEH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,4753.488,SUMATERA UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1082.823,SUMATERA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,7037.636,RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1857.26,JAMBI
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,2852.988,SUMATERA SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,833.41,BENGKULU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,447.978,LAMPUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,538.724,KEP. BANGKA BELITUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,38.939,KEP. RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,DKI JAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,33.518,JAWA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,JAWA TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,DI YOGYAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,JAWA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,28.153,BANTEN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,BALI
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,NUSA TENGGARA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,NUSA TENGGARA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1898.871,KALIMANTAN BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,3312.408,KALIMANTAN TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1316.224,KALIMANTAN SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1599.895,KALIMANTAN TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,KALIMANTAN UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,SULAWESI UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,259.361,SULAWESI TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,52.606,SULAWESI SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,75.248,SULAWESI TENGGARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,GORONTALO
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,300.396,SULAWESI BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,15.73,MALUKU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,MALUKU UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,56.883,PAPUA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,98.086,PAPUA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,29344.48,INDONESIA
